"Einwohnerzahl","Distanz","Körpergröße","SchwierigkeitStudium","Semesterferien","Geschlecht","Augenfarbe","Transport","Feierabendgetränk","Vegetarier"
19500,140,187,"Mittel","zu lange (kann es kaum erwarten endlich wieder Klausuren schreiben, hätte fast noch eine Führerscheinprüfung gemacht nur um mal wieder einen Test zu haben)","Männlich","Blau","Zu Fuß","Bier","Nein"
11,64,164,"Mittel","genau richtig (hat gerade gereicht den gesamten Stoff des 5. Semesters vorzuarbeiten)","Weiblich","Braun","Bus","Cocktails / Longdrinks","Nein"
1500,184,163,"Schwer","zu kurz (wollte eigentlich noch ein Onlineseminar in Differentialgeometrie belegen, jetzt muss ich mich wieder mit den trivialen Inhalten des Biostudiums befassen )","Weiblich","Braun","Fahrad","Bier","Nein"
10000,200,180,"Mittel","genau richtig (hat gerade gereicht den gesamten Stoff des 5. Semesters vorzuarbeiten)","Männlich","Blau","Fahrad","Waser","Ja"
1969,80,180,"Leicht","genau richtig (hat gerade gereicht den gesamten Stoff des 5. Semesters vorzuarbeiten)","Männlich","Braun","Zu Fuß","Tee","Ja"
11000,100,167,"Leicht","genau richtig (hat gerade gereicht den gesamten Stoff des 5. Semesters vorzuarbeiten)","Weiblich","Grün","Zu Fuß","Tee","Ja"
61900,150,168,"Mittel","genau richtig (hat gerade gereicht den gesamten Stoff des 5. Semesters vorzuarbeiten)","Weiblich","Blau","Zu Fuß","Tee","Nein"
290,150,173,"Schwer","genau richtig (hat gerade gereicht den gesamten Stoff des 5. Semesters vorzuarbeiten)","Weiblich","Blau","Fahrad","Tee","Nein"
140000,0,181,"Leicht","zu kurz (wollte eigentlich noch ein Onlineseminar in Differentialgeometrie belegen, jetzt muss ich mich wieder mit den trivialen Inhalten des Biostudiums befassen )","Männlich","Braun","Bus","Waser","Nein"
8910,100,171,"Schwer","zu kurz (wollte eigentlich noch ein Onlineseminar in Differentialgeometrie belegen, jetzt muss ich mich wieder mit den trivialen Inhalten des Biostudiums befassen )","Weiblich","Blau","Zu Fuß","Waser","Nein"
2000,130,172,"Schwer","zu kurz (wollte eigentlich noch ein Onlineseminar in Differentialgeometrie belegen, jetzt muss ich mich wieder mit den trivialen Inhalten des Biostudiums befassen )","Weiblich","Grün","Bus","Tee","Ja"
125000,200,170,"Mittel","zu kurz (wollte eigentlich noch ein Onlineseminar in Differentialgeometrie belegen, jetzt muss ich mich wieder mit den trivialen Inhalten des Biostudiums befassen )","Weiblich","Blau","Fahrad","Tee","Nein"
7000,25,175,"Schwer","zu lange (kann es kaum erwarten endlich wieder Klausuren schreiben, hätte fast noch eine Führerscheinprüfung gemacht nur um mal wieder einen Test zu haben)","Männlich","Braun","Bus","Bier","Nein"
13800,45,165,"Mittel","zu kurz (wollte eigentlich noch ein Onlineseminar in Differentialgeometrie belegen, jetzt muss ich mich wieder mit den trivialen Inhalten des Biostudiums befassen )","Weiblich","Blau","Auto","Bier","Ja"
80,400,180,"Schwer","zu lange (kann es kaum erwarten endlich wieder Klausuren schreiben, hätte fast noch eine Führerscheinprüfung gemacht nur um mal wieder einen Test zu haben)","Männlich","Braun","Auto","Wein","Nein"
80000,400,175,"Mittel","zu kurz (wollte eigentlich noch ein Onlineseminar in Differentialgeometrie belegen, jetzt muss ich mich wieder mit den trivialen Inhalten des Biostudiums befassen )","Weiblich","Grün","Auto","Tee","Nein"
330,110,162,"Schwer","zu kurz (wollte eigentlich noch ein Onlineseminar in Differentialgeometrie belegen, jetzt muss ich mich wieder mit den trivialen Inhalten des Biostudiums befassen )","Weiblich","Braun","Bus","Waser","Nein"
300,5,181,"Mittel","zu kurz (wollte eigentlich noch ein Onlineseminar in Differentialgeometrie belegen, jetzt muss ich mich wieder mit den trivialen Inhalten des Biostudiums befassen )","Weiblich","Braun","Auto","Waser","Nein"
22,170,170,"Schwer","zu kurz (wollte eigentlich noch ein Onlineseminar in Differentialgeometrie belegen, jetzt muss ich mich wieder mit den trivialen Inhalten des Biostudiums befassen )","Weiblich","Grün","Zu Fuß","Tee","Nein"
6600,60,179,"Mittel","zu kurz (wollte eigentlich noch ein Onlineseminar in Differentialgeometrie belegen, jetzt muss ich mich wieder mit den trivialen Inhalten des Biostudiums befassen )","Männlich","Blau","Zu Fuß","Bier","Nein"
