applicant.id;area.of.specialization;current.position;PhD.year;years.in.postdoc;first.authored.papers;total.papers;h.index;number.of.grants.exceeding.100K;classes.taught.not.as.TA;gender;ethnicity;number.of.applications;number.of.phone.skype.interviews;number.of.on.campus.interviews;;;;;
1;Ecology/Community Ecology/Conservation;Post doc/lecturer;2016;0,5;13;18;7;0;2;M;W;10;1;0;;;;;
2;aquatic/marine/fish;PDF;2016;0,5;7;18;8;1;1;M;W;14;1;0;;;;;
3;conservation biology/ quantitative/ etc.;Postdoc;2012;4;18;24;10;1;2;F;W;35;2;2;;;;;
4;evolution;Postdoc;2015;1;8;15;5;2;1;M;W;6;1;1;;;;;
5;Evolutionary Ecology;Postdoc;2013;3;9;17;7;2;1;M;W;28;2;1;;;;;
6;Ecology/Environment;adjunct research faculty;2010;5;11;14;8;0;1;M;NA;12;0;0;;;;;
7;Applied behavioural ecology/conservation;Postdoc;2014;2;7;9;4;3;1;F;W;7;1;1;;;;;
8;Disease ecology;Postdoc;2014;2;7;16;6;1;1;F;W;30;1;1;;;;;
9;Ecology/Evolution;Research Scientist;2007;9;29;42;13;1;2;M;W;;0;0;;;;;
10;Ecology/Evolution and disease ecology;PhD;2017;0;9;19;9;2;3;M;W;;0;0;;;;;
11;Physiological ecology;Postdoc;2014;2;8;15;7;0;2;F;W;41;8;5;;;;;
12;Physiological ecology;Postdoc;2009;6;17;35;11;1;0;M;W;;0;0;;;;;
13;Macroecology;Asst Prof;2014;1;16;28;14;3;2;F;Hispanic;5;0;0;;;;;
14;Ecology/Evolution;Postdoc;2013;3;7;15;7;0;1;M;W;30;2;1;;;;;
15;Ecology/Evolution;PhD;2017;0;7;12;5;;0;M;W;20;1;1;;;;;
16;Marine Ecology/Biological Oceanography;postdoc;2012;3;7;19;9;0;1;M;W;;0;0;;;;;
17;Physiological ecology;postdoc;2012;4;9;15;8;2;1;M;W;;2;3;;;;;
18;Evolutionary Biology;Visting Assistant Prof;2015;;4;5;1;1;4;F;W;23;1;0;;;;;
19;Ecology/Conservation;Instructor/Research Scientist;2014;2;9;12;4;0;20;M;W;;0;0;;;;;
20;Ecology, behavior, botany;Postdoc;2014;3;9;12;4;0;1;M;W;;0;0;;;;;
21;Evolution, behavior;Postdoc;2011;4;20;23;8;1;1;M;W;24;0;0;;;;;
22;Behavioural Ecology;Postdoc/Sessional Instructor;2014;2;11;16;7;0;4;F;W;6;0;0;;;;;
23;Ecology/Evolution and STEM ed;postdoc;2014;1,5;5;14;6;0;1;F;W;18;0;2;;;;;
24;Molecular Evolution;postdoc;2013;3;8;25;7;0;1;M;W;4;0;0;;;;;
25;Pop/Com Ecology, Data Science;postdoc;2012;4;13;27;9;1;5;F;W;25;4;0;;;;;
26;Ecosystem Ecology/Biogeochemistry;postdoc;2012;3,5;7;11;6;0;1;F;W;6;1;1;;;;;
27;Ecology/Evolution;postdoc;2011;5;12;29;13;2;3;M;W;31;4;4;;;;;
28;Ecology/evolution;Asst.Prof;2008;3;17;35;15;2;5;F;W;50;2;1;;;;;
29;Aquatic/Ecology/Conservation/Pop gen;postdoc;2012;4;8;21;9;2;1;F;W;12;1;1;;;;;
30;Evolutionary Ecology;postdoc;2015;1;3;10;6;0;1;F;W;35;5;3;;;;;
31;Evolutionary Ecology;postdoc;2013;3;5;20;8;1;3;M;W;;1;0;;;;;
32;Evolutionary genomics;asst prof;2010;5;7;23;16;1;0;F;Hispanic;1;1;1;;;;;
33;Ecology/scicomm;Non-academic/adjunct;2013;;12;17;6;0;3;M;W;1;0;0;;;;;
34;Physiological ecology/ Microbial Ecology;Postdoc;2014;2;28;36;13;2;1;M;W;20;1;2;;;;;
35;Ecology/Physiology;postdoc;2011;3;14;18;;0;2;F;W;;0;2;;;;;
36;Evolutionary Biology;Admin/Research;2005;4;14;21;14;0;20;F;W;4;0;0;;;;;
37;Marine Conservation / Behavior;Research Faculty;2010;3,5;7;21;;1;2;F;W;1;0;0;;;;;
38;Conservation paleontology;Research Faculty;2010;3,5;5;17;11;1;0;F;W;28;0;2;;;;;
40;Conservation Biology;Asst Prof;2012;;3;9;;0;16;F;W;3;0;0;;;;;
41;Molecular Ecology;PhD;2017;0;6;14;2;0;8;M;W;3;0;0;;;;;
42;Evolution, Physiology;Postdoc;2015;1;3;12;6;1;2;F;W;2;0;0;;;;;
43;Evolution, Behavioral Ecology;Postdoc;2010;6;7;12;7;3;0;M;W;5;0;0;;;;;
45;Evolutionary Ecology;Postdoc;2013;3;5;11;7;2;1;M;W;2;0;0;;;;;
46;Ecology;Postdoc;2015;1;9;12;6;1;1;M;W;4;0;0;;;;;
47;Ecophysiology;Postdoc;2016;0,5;6;10;4;1;1;M;W;34;4;0;;;;;
48;Evolutionary Ecology;Postdoc;2012;4;5;7;4;1;0;F;W;;0;0;;;;;
49;Ecology;Postdoc;2014;2;5;5;2;1;2;M;W;7;0;0;;;;;
50;Evolution;Postdoc;2014;2;8;22;11;1;0;M;Latino;13;1;2;;;;;
51;Evolutionary Ecology;Postdoc;2016;0,5;5;14;9;0;0;F;W;2;0;0;;;;;
52;Evolutionary Ecology;postdoc;2015;1;2;11;9;1;0;F;W;1;0;0;;;;;
53;Evolution;Postdoc;2015;1,5;5;7;3;0;1;M;Latino;10;0;0;;;;;
54;Marine Ecology/microbiology;NTT;2009;2,5;6;20;15;1;6;F;W;10;2;1;;;;;
55;Evolution/Development/Genomics/Behavior;Postdoc;2011;5,5;4;7;4;2;2;F;W;18;0;1;;;;;
56;Ecology/Conservation;Teaching Faculty;2008;4;20;32;12;2;25;M;W;4;1;0;;;;;
57;Evolutionary biology/genomics;Postdoc;2010;5,5;8;26;17;1;0;M;W;21;0;0;;;;;
59;Restoration Ecology;Postdoc;2014;2;7;13;9;2;6;M;W;12;1;0;;;;;
60;Behavioural Ecology;Postdoc;2013;3;20;37;13;3;1;M;W;;0;0;;;;;
61;Evolutionary Biology;Postdoc;2014;2,5;7;13;10;1;0;F;W;4;0;0;;;;;
